TestNo, FOO, BAR, OPTLEVEL, Score_1, Score_2, Score_3, Score_Overall
1, 1, 1, -O0, 0.00266695022583, 0.00271081924438, 0.00289082527161, 0.00275619824727
2, 2, 1, -O0, 0.00295400619507, 0.00301098823547, 0.00331997871399, 0.00309499104818
3, 34, 1, -O0, 0.00277495384216, 0.00280094146729, 0.00282096862793, 0.00279895464579
4, 1, 12, -O0, 0.00277614593506, 0.00282502174377, 0.00284790992737, 0.00281635920207
5, 2, 12, -O0, 0.00276899337769, 0.00297403335571, 0.00343894958496, 0.00306065877279
6, 34, 12, -O0, 0.00283908843994, 0.00285601615906, 0.00301003456116, 0.00290171305339
7, 1, 1, -O1, 0.0030620098114, 0.00322794914246, 0.00336194038391, 0.00321729977926
8, 2, 1, -O1, 0.00311493873596, 0.00330805778503, 0.00362992286682, 0.00335097312927
9, 34, 1, -O1, 0.00316190719604, 0.00326609611511, 0.00350713729858, 0.00331171353658
10, 1, 12, -O1, 0.00329303741455, 0.00345420837402, 0.00365710258484, 0.00346811612447
11, 2, 12, -O1, 0.00319409370422, 0.0032479763031, 0.00334906578064, 0.00326371192932
12, 34, 12, -O1, 0.00308299064636, 0.00317406654358, 0.00357007980347, 0.00327571233114
13, 1, 1, -O2, 0.00318884849548, 0.00318884849548, 0.0034499168396, 0.00327587127686
14, 2, 1, -O2, 0.0031681060791, 0.00336909294128, 0.00387787818909, 0.00347169240316
15, 34, 1, -O2, 0.00309491157532, 0.00333189964294, 0.00348496437073, 0.00330392519633
16, 1, 12, -O2, 0.00309610366821, 0.00319314002991, 0.00336694717407, 0.00321873029073
17, 2, 12, -O2, 0.00322794914246, 0.00324201583862, 0.00343704223633, 0.00330233573914
18, 34, 12, -O2, 0.00320482254028, 0.00329494476318, 0.00344514846802, 0.00331497192383
19, 1, 1, -O3, 0.00316500663757, 0.00324320793152, 0.00339293479919, 0.00326704978943
20, 2, 1, -O3, 0.00320291519165, 0.00326085090637, 0.00333786010742, 0.00326720873515
21, 34, 1, -O3, 0.00311899185181, 0.00329399108887, 0.00332117080688, 0.00324471791585
22, 1, 12, -O3, 0.00319314002991, 0.00330901145935, 0.00344014167786, 0.00331409772237
23, 2, 12, -O3, 0.00309586524963, 0.00325798988342, 0.00328087806702, 0.00321157773336
24, 34, 12, -O3, 0.00323009490967, 0.00338101387024, 0.00343298912048, 0.00334803263346
25, 1, 1, -Os, 0.00324392318726, 0.00333595275879, 0.00345587730408, 0.00334525108337
26, 2, 1, -Os, 0.00320792198181, 0.00325584411621, 0.00333499908447, 0.00326625506083
27, 34, 1, -Os, 0.00323605537415, 0.00327515602112, 0.00332808494568, 0.00327976544698
28, 1, 12, -Os, 0.00320482254028, 0.00329208374023, 0.0033118724823, 0.00326959292094
29, 2, 12, -Os, 0.00320196151733, 0.00325107574463, 0.0033221244812, 0.00325838724772
30, 34, 12, -Os, 0.00314998626709, 0.0032811164856, 0.00339198112488, 0.00327436129252
