TestNo, FOO, BAR, OPTLEVEL, Score_1, Score_2, Score_3, Score_Overall
1, 1, 1, -O0, 8465.0, 8465.0, 8465.0, 8465.0
2, 2, 1, -O0, 8465.0, 8465.0, 8465.0, 8465.0
3, 34, 1, -O0, 8465.0, 8465.0, 8465.0, 8465.0
4, 1, 12, -O0, 8465.0, 8465.0, 8465.0, 8465.0
5, 2, 12, -O0, 8465.0, 8465.0, 8465.0, 8465.0
6, 34, 12, -O0, 8465.0, 8465.0, 8465.0, 8465.0
7, 1, 1, -O1, 8473.0, 8473.0, 8473.0, 8473.0
8, 2, 1, -O1, 8473.0, 8473.0, 8473.0, 8473.0
9, 34, 1, -O1, 8473.0, 8473.0, 8473.0, 8473.0
10, 1, 12, -O1, 8473.0, 8473.0, 8473.0, 8473.0
11, 2, 12, -O1, 8473.0, 8473.0, 8473.0, 8473.0
12, 34, 12, -O1, 8473.0, 8473.0, 8473.0, 8473.0
13, 1, 1, -O2, 8473.0, 8473.0, 8473.0, 8473.0
14, 2, 1, -O2, 8473.0, 8473.0, 8473.0, 8473.0
15, 34, 1, -O2, 8473.0, 8473.0, 8473.0, 8473.0
16, 1, 12, -O2, 8473.0, 8473.0, 8473.0, 8473.0
17, 2, 12, -O2, 8473.0, 8473.0, 8473.0, 8473.0
18, 34, 12, -O2, 8473.0, 8473.0, 8473.0, 8473.0
19, 1, 1, -O3, 8473.0, 8473.0, 8473.0, 8473.0
20, 2, 1, -O3, 8473.0, 8473.0, 8473.0, 8473.0
21, 34, 1, -O3, 8473.0, 8473.0, 8473.0, 8473.0
22, 1, 12, -O3, 8473.0, 8473.0, 8473.0, 8473.0
23, 2, 12, -O3, 8473.0, 8473.0, 8473.0, 8473.0
24, 34, 12, -O3, 8473.0, 8473.0, 8473.0, 8473.0
25, 1, 1, -Os, 8473.0, 8473.0, 8473.0, 8473.0
26, 2, 1, -Os, 8473.0, 8473.0, 8473.0, 8473.0
27, 34, 1, -Os, 8473.0, 8473.0, 8473.0, 8473.0
28, 1, 12, -Os, 8473.0, 8473.0, 8473.0, 8473.0
29, 2, 12, -Os, 8473.0, 8473.0, 8473.0, 8473.0
30, 34, 12, -Os, 8473.0, 8473.0, 8473.0, 8473.0
