TestNo, BLOCK_I, BLOCK_J, BLOCK_K, Score_1, Score_2, Score_3, Score_Overall
1, 4, 4, 4, 12.6202149391, 12.6469011307, 13.1409518719, 12.6202149391
2, 8, 4, 4, 11.236615181, 11.2424781322, 11.5845749378, 11.236615181
3, 16, 4, 4, 11.3547830582, 11.3621008396, 11.5325210094, 11.3547830582
4, 32, 4, 4, 11.1073961258, 11.2933120728, 11.3406028748, 11.1073961258
5, 64, 4, 4, 10.8052310944, 11.0862708092, 11.2066748142, 10.8052310944
6, 4, 8, 4, 12.1399028301, 12.1878840923, 12.8296380043, 12.1399028301
7, 8, 8, 4, 11.5410568714, 11.5563049316, 11.5807220936, 11.5410568714
8, 16, 8, 4, 10.5978851318, 10.8759710789, 10.90812397, 10.5978851318
9, 32, 8, 4, 10.4398789406, 10.4406299591, 10.7369918823, 10.4398789406
10, 64, 8, 4, 10.5331151485, 10.5838840008, 10.7425529957, 10.5331151485
11, 4, 16, 4, 11.8515470028, 12.0106179714, 12.1028678417, 11.8515470028
12, 8, 16, 4, 10.9230182171, 10.9240100384, 10.9488420486, 10.9230182171
13, 16, 16, 4, 10.4615340233, 10.4866881371, 10.5058720112, 10.4615340233
14, 32, 16, 4, 10.251103878, 10.2653980255, 10.3909950256, 10.251103878
15, 64, 16, 4, 10.1320109367, 10.1864960194, 10.1867051125, 10.1320109367
16, 4, 32, 4, 10.9036779404, 10.9208681583, 10.9251070023, 10.9036779404
17, 8, 32, 4, 10.3542928696, 10.3694210052, 10.3971440792, 10.3542928696
18, 16, 32, 4, 10.1237440109, 10.1349411011, 10.175691843, 10.1237440109
19, 32, 32, 4, 10.0061590672, 10.0343079567, 10.0765190125, 10.0061590672
20, 64, 32, 4, 9.95816087723, 9.96884894371, 9.98042392731, 9.95816087723
21, 4, 64, 4, 10.3658280373, 10.3779609203, 10.4236729145, 10.3658280373
22, 8, 64, 4, 10.0843579769, 10.0994970798, 10.1396119595, 10.0843579769
23, 16, 64, 4, 10.0418879986, 10.0471901894, 10.0851171017, 10.0418879986
24, 32, 64, 4, 9.9782269001, 9.9938659668, 10.0356929302, 9.9782269001
25, 64, 64, 4, 9.95314598083, 9.96484494209, 9.98690295219, 9.95314598083
26, 4, 4, 8, 12.6392118931, 13.6696760654, 13.7077009678, 12.6392118931
27, 8, 4, 8, 12.1301398277, 12.6812670231, 12.7257399559, 12.1301398277
28, 16, 4, 8, 11.4755759239, 11.5104081631, 11.833001852, 11.4755759239
29, 32, 4, 8, 11.1985459328, 11.4689772129, 11.4923820496, 11.1985459328
30, 64, 4, 8, 11.1652469635, 11.3122301102, 11.3249890804, 11.1652469635
31, 4, 8, 8, 11.9458260536, 11.9632019997, 12.6131269932, 11.9458260536
32, 8, 8, 8, 11.2227971554, 11.7436058521, 11.7774100304, 11.2227971554
33, 16, 8, 8, 11.0346250534, 11.2713150978, 11.3684420586, 11.0346250534
34, 32, 8, 8, 10.7311520576, 10.9848129749, 10.9858210087, 10.7311520576
35, 64, 8, 8, 10.8742589951, 10.8967180252, 10.8982319832, 10.8742589951
36, 4, 16, 8, 12.2961421013, 12.3313000202, 12.3431019783, 12.2961421013
37, 8, 16, 8, 11.3266119957, 11.380633831, 11.3902459145, 11.3266119957
38, 16, 16, 8, 10.7154848576, 10.9104378223, 10.9663100243, 10.7154848576
39, 32, 16, 8, 10.7307379246, 10.7355871201, 10.7410280704, 10.7307379246
40, 64, 16, 8, 10.5396978855, 10.542427063, 10.9457941055, 10.5396978855
41, 4, 32, 8, 11.3518910408, 11.3527719975, 11.3695559502, 11.3518910408
42, 8, 32, 8, 10.8259449005, 10.9132459164, 10.9298770428, 10.8259449005
43, 16, 32, 8, 10.7943189144, 11.0886700153, 11.2405250072, 10.7943189144
44, 32, 32, 8, 10.5048429966, 10.5368568897, 10.6823849678, 10.5048429966
45, 64, 32, 8, 10.5807850361, 10.6869909763, 10.7392411232, 10.5807850361
46, 4, 64, 8, 10.9849841595, 11.0104100704, 11.0562961102, 10.9849841595
47, 8, 64, 8, 10.7963018417, 11.0334129333, 11.1310648918, 10.7963018417
48, 16, 64, 8, 10.4811398983, 10.5912148952, 10.6123940945, 10.4811398983
49, 32, 64, 8, 10.4627659321, 10.5381469727, 10.5499560833, 10.4627659321
50, 64, 64, 8, 10.4865028858, 10.4941699505, 10.6626489162, 10.4865028858
51, 4, 4, 16, 13.5754768848, 13.5954101086, 13.6622428894, 13.5754768848
52, 8, 4, 16, 11.6714100838, 12.1124551296, 12.1486711502, 11.6714100838
53, 16, 4, 16, 11.4481599331, 11.4535288811, 11.5563659668, 11.4481599331
54, 32, 4, 16, 10.9591059685, 11.0885851383, 11.1941580772, 10.9591059685
55, 64, 4, 16, 10.8792819977, 11.067483902, 11.1026899815, 10.8792819977
56, 4, 8, 16, 11.4518620968, 12.4312880039, 12.5771641731, 11.4518620968
57, 8, 8, 16, 10.9643950462, 11.3644649982, 11.4335839748, 10.9643950462
58, 16, 8, 16, 10.6106460094, 10.9188981056, 11.0298202038, 10.6106460094
59, 32, 8, 16, 10.469481945, 10.5381658077, 10.9826300144, 10.469481945
60, 64, 8, 16, 10.4669239521, 10.6633298397, 10.6866269112, 10.4669239521
61, 4, 16, 16, 11.1796710491, 11.8328821659, 11.9933681488, 11.1796710491
62, 8, 16, 16, 11.0674209595, 11.1550660133, 11.1676199436, 11.0674209595
63, 16, 16, 16, 10.4898309708, 10.6905090809, 10.7497229576, 10.4898309708
64, 32, 16, 16, 10.388684988, 10.5171542168, 10.5614490509, 10.388684988
65, 64, 16, 16, 10.3678791523, 10.4700479507, 10.5179800987, 10.3678791523
66, 4, 32, 16, 11.0689628124, 11.1143400669, 11.479681015, 11.0689628124
67, 8, 32, 16, 10.6815009117, 10.7929170132, 10.8653891087, 10.6815009117
68, 16, 32, 16, 10.4221320152, 10.46540308, 10.6041948795, 10.4221320152
69, 32, 32, 16, 10.3588020802, 10.3733189106, 10.3827419281, 10.3588020802
70, 64, 32, 16, 10.3211650848, 10.3623120785, 10.3668379784, 10.3211650848
71, 4, 64, 16, 10.7261099815, 10.8027660847, 10.8098797798, 10.7261099815
72, 8, 64, 16, 10.4506540298, 10.4719359875, 10.5343468189, 10.4506540298
73, 16, 64, 16, 10.2944250107, 10.29906106, 10.3329980373, 10.2944250107
74, 32, 64, 16, 10.2356541157, 10.2507460117, 10.4435279369, 10.2356541157
75, 64, 64, 16, 10.3869509697, 10.5854690075, 10.9748888016, 10.3869509697
76, 4, 4, 32, 15.1977159977, 15.8358781338, 16.2228860855, 15.1977159977
77, 8, 4, 32, 14.2088999748, 14.6977479458, 14.7964808941, 14.2088999748
78, 16, 4, 32, 13.749530077, 13.8577830791, 13.9643018246, 13.749530077
79, 32, 4, 32, 13.6106760502, 13.646132946, 13.8159680367, 13.6106760502
80, 64, 4, 32, 13.8186628819, 13.8203480244, 14.0094749928, 13.8186628819
81, 4, 8, 32, 14.9782021046, 14.9817171097, 15.004887104, 14.9782021046
