TestNo, BLOCK_I, BLOCK_K, BLOCK_J, Score_1, Score_2, Score_3, Score_Overall
1, 4, 4, 4, 12.8513569832, 12.8602671623, 12.9934279919, 12.8513569832
2, 8, 4, 4, 11.3451521397, 11.7126541138, 11.8558809757, 11.3451521397
3, 16, 4, 4, 11.4516351223, 11.6016530991, 11.700740099, 11.4516351223
4, 32, 4, 4, 11.0573651791, 11.3189618587, 11.3285858631, 11.0573651791
5, 64, 4, 4, 10.8725659847, 10.8975639343, 10.9090161324, 10.8725659847
6, 4, 4, 8, 10.9468522072, 11.8204932213, 11.8779690266, 10.9468522072
7, 8, 4, 8, 11.0326418877, 11.4210488796, 11.4792678356, 11.0326418877
8, 16, 4, 8, 10.8091490269, 10.8452339172, 10.8535571098, 10.8091490269
9, 32, 4, 8, 10.4505469799, 10.5981900692, 10.5993440151, 10.4505469799
10, 64, 4, 8, , , , 
11, 4, 4, 16, 11.2035610676, 11.2549870014, 11.8886649609, 11.2035610676
12, 8, 4, 16, 10.7626430988, 10.8307909966, 11.0776929855, 10.7626430988
13, 16, 4, 16, 10.2889459133, 10.4059588909, 10.4554610252, 10.2889459133
14, 32, 4, 16, 10.2381851673, 10.2516989708, 10.3096880913, 10.2381851673
15, 64, 4, 16, 10.0998008251, 10.1896440983, 10.2373991013, 10.0998008251
