TestNo, BLOCK_I, BLOCK_K, BLOCK_J, Score_1, Score_2, Score_3, Score_Overall
1, 4, 4, 4, 12.8513569832, 12.8602671623, 12.9934279919, 12.8513569832
2, 8, 4, 4, 11.3451521397, 11.7126541138, 11.8558809757, 11.3451521397
3, 16, 4, 4, 11.4516351223, 11.6016530991, 11.700740099, 11.4516351223
4, 32, 4, 4, 11.0573651791, 11.3189618587, 11.3285858631, 11.0573651791
5, 64, 4, 4, 10.8725659847, 10.8975639343, 10.9090161324, 10.8725659847
6, 4, 4, 8, 10.9468522072, 11.8204932213, 11.8779690266, 10.9468522072
7, 8, 4, 8, 11.0326418877, 11.4210488796, 11.4792678356, 11.0326418877
8, 16, 4, 8, 10.8091490269, 10.8452339172, 10.8535571098, 10.8091490269
9, 32, 4, 8, 10.4505469799, 10.5981900692, 10.5993440151, 10.4505469799
10, 64, 4, 8, 10.3541190624, 10.5062019825, 11.0476958752, 10.3541190624
11, 4, 4, 16, 11.2035610676, 11.2549870014, 11.8886649609, 11.2035610676
12, 8, 4, 16, 10.7626430988, 10.8307909966, 11.0776929855, 10.7626430988
13, 16, 4, 16, 10.2889459133, 10.4059588909, 10.4554610252, 10.2889459133
14, 32, 4, 16, 10.2381851673, 10.2516989708, 10.3096880913, 10.2381851673
15, 64, 4, 16, 10.0998008251, 10.1896440983, 10.2373991013, 10.0998008251
16, 4, 4, 32, 10.8387680054, 10.8964240551, 10.9036960602, 10.8387680054
17, 8, 4, 32, 10.3329920769, 10.3439598083, 10.360145092, 10.3329920769
18, 16, 4, 32, 10.1451070309, 10.1481099129, 10.1580851078, 10.1451070309
19, 32, 4, 32, 10.0058839321, 10.0207769871, 10.0371279716, 10.0058839321
20, 64, 4, 32, 9.97842812538, 9.99302220345, 10.0216479301, 9.97842812538
21, 4, 4, 64, 10.3881659508, 10.4170868397, 10.4210999012, 10.3881659508
22, 8, 4, 64, 10.0716559887, 10.1095950603, 10.1097350121, 10.0716559887
23, 16, 4, 64, 10.0362489223, 10.0508189201, 10.0784020424, 10.0362489223
24, 32, 4, 64, 10.0000648499, 10.0130741596, 10.0372350216, 10.0000648499
25, 64, 4, 64, 9.95934987068, 9.96764492989, 9.9849691391, 9.95934987068
26, 4, 8, 4, 12.6980760098, 13.737487793, 13.7642531395, 12.6980760098
27, 8, 8, 4, 12.6335439682, 12.6890079975, 12.8100538254, 12.6335439682
28, 16, 8, 4, 11.532515049, 11.8496849537, 11.8677020073, 11.532515049
29, 32, 8, 4, 11.2067210674, 11.2239089012, 11.4843211174, 11.2067210674
30, 64, 8, 4, 11.3154819012, 11.3225409985, 11.3509559631, 11.3154819012
31, 4, 8, 8, 12.672852993, 12.6964550018, 12.7202479839, 12.672852993
32, 8, 8, 8, 11.2193820477, 11.2196979523, 11.2633700371, 11.2193820477
33, 16, 8, 8, 11.21865201, 11.246243, 11.2698500156, 11.21865201
34, 32, 8, 8, 11.0016450882, 11.0369799137, 11.349850893, 11.0016450882
35, 64, 8, 8, 10.6714060307, 10.9440147877, 10.9761340618, 10.6714060307
36, 4, 8, 16, 11.6810498238, 11.9185299873, 12.390196085, 11.6810498238
37, 8, 8, 16, 11.0081009865, 11.1606879234, 11.4342889786, 11.0081009865
38, 16, 8, 16, 10.9527659416, 10.986702919, 11.0501139164, 10.9527659416
39, 32, 8, 16, 10.7494130135, 10.7525229454, 10.7567620277, 10.7494130135
40, 64, 8, 16, 10.6987738609, 10.7178452015, 11.3576979637, 10.6987738609
